rank,title,director,release_date,movie_type,format_type,nation,screens_total,sales_total_krw,audience_total,sales_seoul_krw,audience_seoul,genre,rating,film_class,seoul_ratio,release_year,nation_enc,rating_enc,genre_enc
8159,Fire Dragon Showdown,Lim Cho-hyun,2014-01-09,Theatrical Release,Feature,HK,1,1510000,302,1510000.0,302,Action,18+,Commercial,1.0,2014,24,2,0
8160,Gunner,Dimitri Logothetis,2025-04-10,Theatrical Release,Feature,US,20,1746000,301,100000.0,20,Action,15+,Commercial,0.0664451827242525,2025,63,1,0
8161,bunker game,Roberto Zazzara,2024-03-06,Theatrical Release,Feature,IT,19,2944300,301,813600.0,78,Other,15+,Commercial,0.2591362126245847,2024,34,1,4
8162,Armor: Cash Transporter,Unknown,2025-03-27,Theatrical Release,Feature,US,20,1746000,301,100000.0,20,Other,15+,Commercial,0.0664451827242525,2025,63,1,4
8163,Madame Emma 2016,Kim Mi-yeon,2016-06-14,Theatrical Release,Feature,KR,21,1638000,301,319000.0,63,Romance,18+,Commercial,0.20930232558139536,2016,36,2,5
8164,Kiss me again,Gabriele Muccino,2015-06-11,Theatrical Release,Feature,IT,2,2290000,301,1937000.0,245,Romance,18+,Art film,0.813953488372093,2015,34,2,5
8165,avarice,Kim Jung Wook,2016-05-12,Theatrical Release,Feature,KR,20,1555000,301,565000.0,113,Romance,18+,Commercial,0.3754152823920266,2016,36,2,5
8166,Some days between those days,Matthew Porterfield,2015-04-09,Theatrical Release,Feature,US,7,2267500,300,1694500.0,207,Romance,15+,Art film,0.69,2015,63,1,5
8167,Diving Bell: Truth Doesn't Sink,"Lee Sang-ho, Ahn Hae-ryong",2015-04-16,Theatrical Release,Feature,KR,4,2209000,300,2000000.0,268,Other,15+,Commercial,0.8933333333333333,2015,36,1,4
8168,You live in this text,Lim Ji-hwan,2022-02-18,Theatrical Release,Feature,KR,5,1500000,300,100000.0,20,Other,12+,Art film,0.06666666666666667,2022,36,0,4
8169,brake,Unknown,2020-05-20,Theatrical Release,Feature,RU,5,1500000,300,0.0,0,Action,15+,Art film,0.0,2020,55,1,0
8170,Sabotage 1941,Unknown,2021-08-12,Theatrical Release,Feature,RU,5,1500000,300,1100000.0,220,Romance,15+,Art film,0.7333333333333333,2021,55,1,5
8171,Outsider,Kim Moon-ok,2014-07-24,Theatrical Release,Feature,KR,1,600000,300,600000.0,300,Romance,18+,Art film,1.0,2014,36,2,5
8172,The brightest roof in the universe,Fujii Michihito,2022-03-17,Theatrical Release,Feature,JP,2,1500000,300,1400000.0,280,Other,All Ages,Art film,0.9333333333333333,2022,35,3,4
8173,From earth to eternity,"Tamara Harvey, Nick Morris",2016-09-29,Theatrical Release,Feature,GB,6,4505500,300,3572000.0,245,Other,15+,Commercial,0.8166666666666667,2016,22,1,4
8174,Couple hell,Henri,2025-03-13,Theatrical Release,Feature,KR,5,2384000,300,1354000.0,137,Other,15+,Art film,0.45666666666666667,2025,36,1,4
8175,Brother's wife,Idol,2016-05-03,Theatrical Release,Feature,KR,19,1555000,300,577000.0,114,Romance,18+,Commercial,0.38,2016,36,2,5
8176,If you die,This is their life,2012-08-09,Theatrical Release,Feature,FR,1,1528000,299,0.0,0,Romance,15+,Art film,0.0,2012,21,1,5
8177,Hell count,Brendan Muldowney,2022-11-17,Theatrical Release,Feature,US,4,1503000,299,0.0,0,Other,15+,Art film,0.0,2022,63,1,4
8178,hair,Already,2020-12-10,Theatrical Release,Feature,KR,12,2646670,298,1990070.0,210,Other,All Ages,Art film,0.7046979865771812,2020,36,3,4
8179,Summer with closed eyes,Unknown,2022-06-30,Theatrical Release,Feature,VN,6,1490000,297,100000.0,20,Romance,12+,Art film,0.06734006734006734,2022,67,0,5
8180,Like a lion that is not startled by noise,Yoon Sung-jun,2021-05-19,Theatrical Release,Feature,KR,8,1387940,297,564000.0,186,Other,All Ages,Commercial,0.6262626262626263,2021,36,3,4
8181,Sister's friend,before,2018-05-23,Theatrical Release,Feature,KR,10,1451000,297,1412000.0,283,Romance,18+,Commercial,0.9528619528619529,2018,36,2,5
8182,YOLO YOU ONLY LIVE ONCE,Federico Cueva,2019-02-28,Theatrical Release,Feature,AR,6,1181700,297,307700.0,16,Action,15+,Art film,0.05387205387205387,2019,1,1,0
8183,Paranormal initiation,Darin Scott,2014-12-18,Theatrical Release,Feature,US,4,1225000,297,710000.0,138,Other,15+,Commercial,0.46464646464646464,2014,63,1,4
8184,Home Sweet Home,Moon Si-Hyeon,2012-03-15,Theatrical Release,Feature,KR,5,2109500,297,1512500.0,196,Romance,18+,Commercial,0.6599326599326599,2012,36,2,5
8185,Blast: Bomb Disposal Squad,Unknown,2023-03-16,Theatrical Release,Feature,FR,5,1800000,296,900000.0,144,Action,12+,Art film,0.4864864864864865,2023,21,0,0
8186,Julia X,P.J. Petit,2013-07-16,Theatrical Release,Feature,US,3,827000,296,607000.0,251,Other,18+,Commercial,0.847972972972973,2013,63,2,4
8187,Guardian-Steel Armor,Hwangjo Kwon,2014-04-10,Theatrical Release,Feature,CN,5,986000,295,276000.0,57,Action,12+,Commercial,0.19322033898305085,2014,11,0,0
8188,Almost charming,Philippe Lelouch,2013-11-29,Theatrical Release,Feature,FR,1,660000,295,660000.0,295,Romance,15+,Commercial,1.0,2013,21,1,5
8189,Calendar Girl,Kang Hyun-cheol,2016-04-07,Theatrical Release,Feature,KR,20,1598000,295,419000.0,73,Romance,18+,Commercial,0.24745762711864408,2016,36,2,5
8190,cat samurai 2,Takeshi Watanabe,2016-03-10,Theatrical Release,Feature,JP,8,2311500,294,1881000.0,232,Comedy,12+,Art film,0.7891156462585034,2016,35,0,3
8191,The Wandering Dutchman,Unknown,2021-02-28,Theatrical Release,Feature,DE,7,7077900,294,5318300.0,224,Other,12+,Commercial,0.7619047619047619,2021,15,0,4
8192,Life and activities,Park Cheol-su,2013-03-21,Theatrical Release,Feature,KR,4,2343000,294,1008000.0,126,Romance,18+,Art film,0.42857142857142855,2013,36,2,5
8193,8th Light: The Resurrection of the Monster,Peter Attencio,2014-12-23,Theatrical Release,Feature,US,4,1060000,294,824000.0,190,Other,18+,Commercial,0.6462585034013606,2014,63,2,4
8194,Dinosaur Adventure,Unknown,2021-01-27,Theatrical Release,Feature,US,26,2165070,292,517000.0,69,Other,15+,Commercial,0.2363013698630137,2021,63,1,4
8195,Women's War: Dirty Deal,Noh Jin-soo,2016-06-16,Theatrical Release,Feature,KR,21,1544000,292,319000.0,63,Romance,18+,Commercial,0.21575342465753425,2016,36,2,5
8196,Himawari and My 7 Days,Emiko Hiramatsu,2014-09-25,Theatrical Release,Feature,JP,3,2077000,292,1637000.0,219,Romance,All Ages,Commercial,0.75,2014,35,3,5
8197,"It's okay, it's really okay.",Yosuke Fujita,2010-05-20,Theatrical Release,Feature,JP,1,1810424,291,966000.0,130,Comedy,12+,Art film,0.44673539518900346,2010,35,0,3
8198,Lady Gaga: On the Edge,Tara Furnia,2013-01-24,Theatrical Release,Feature,GB,4,1135150,291,877650.0,208,Other,18+,Art film,0.7147766323024055,2013,22,2,4
8199,Madonna: Like a Virgin,Mary Lambert,2013-01-24,Theatrical Release,Feature,US,4,1135150,291,877650.0,208,Other,12+,Art film,0.7147766323024055,2013,63,0,4
8200,Manifesto,Julian Rosefeldt,2019-08-01,Theatrical Release,Feature,DE,4,1814200,291,381000.0,46,Romance,15+,Art film,0.15807560137457044,2019,15,1,5
8201,Spirit of Beethoven,Nampyeonghee,2014-12-10,Theatrical Release,Feature,KR,1,1164000,291,1164000.0,291,Other,All Ages,Commercial,1.0,2014,36,3,4
8202,Women's War: Bongcheon-dong Bloody Battle,Kwon Seong-guk,2016-07-14,Theatrical Release,Feature,KR,21,1534000,291,319000.0,63,Romance,18+,Commercial,0.21649484536082475,2016,36,2,5
8203,Meritorious person,Park Sang-hoon,2021-03-01,Theatrical Release,Feature,KR,4,953000,291,642000.0,138,Romance,15+,Art film,0.4742268041237113,2021,36,1,5
8204,Stranger than the afterlife,Yeogyun-dong,2021-06-30,Theatrical Release,Feature,KR,9,2342970,291,1947970.0,227,Romance,15+,Art film,0.7800687285223368,2021,36,1,5
8205,weekend couple,Expectation,2016-07-08,Theatrical Release,Feature,KR,21,1540000,291,319000.0,63,Romance,18+,Commercial,0.21649484536082475,2016,36,2,5
8206,Break Blade 5: The Last Command,Habara Nobuyushi,2013-08-01,Theatrical Release,Feature,JP,2,860000,290,0.0,0,Animation,12+,Commercial,0.0,2013,35,0,2
8207,Like the first glass,Baek Seung-hwan,2019-10-11,Theatrical Release,Feature,KR,1,1305000,290,1305000.0,290,Romance,15+,Art film,1.0,2019,36,1,5
8208,1 day from today,Kim Kyung-soo,2024-12-06,Theatrical Release,Feature,KR,5,2710500,287,2191000.0,237,Action,15+,Art film,0.8257839721254355,2024,36,1,0
8209,"Sapporo, Ohio",Kim Sung-jun,2013-01-03,Theatrical Release,Feature,KR,1,1429000,287,1429000.0,287,Romance,All Ages,Art film,1.0,2013,36,3,5
8210,Table Manners,Park Jang-woon,2022-03-15,Theatrical Release,Feature,KR,5,904000,287,208000.0,138,Romance,15+,Art film,0.4808362369337979,2022,36,1,5
8211,Fidelio,"Daniel Barenboim, Deborah Warner",2021-05-01,Theatrical Release,Feature,IT,9,7661550,287,5231550.0,172,Other,12+,Commercial,0.5993031358885017,2021,34,0,4
8212,The Day,Douglas Aniukowski,2013-04-22,Theatrical Release,Feature,US,4,1430000,286,755000.0,151,Romance,18+,Commercial,0.527972027972028,2013,63,2,5
8213,The Night of the Prophet,Kim Sung-moo,2015-09-10,Theatrical Release,Feature,KR,1,2424500,286,2350500.0,278,Romance,18+,Art film,0.972027972027972,2015,36,2,5
8214,Let's do it now,Park Beom-su,2016-04-20,Theatrical Release,Feature,KR,20,1483000,286,549000.0,109,Romance,18+,Commercial,0.3811188811188811,2016,36,2,5
8215,Soundtrack of 16 years old,Hilary Shakespeare,2020-07-02,Theatrical Release,Feature,GB,19,2460400,286,1502900.0,165,Comedy,12+,Art film,0.5769230769230769,2020,22,0,3
8216,Stash House,Eduardo Rodriguez,2013-05-30,Theatrical Release,Feature,US,1,595000,285,595000.0,285,Action,18+,Commercial,1.0,2013,63,2,0
8217,Sleepless Sex 2,Lee Min-hwan,2016-05-18,Theatrical Release,Feature,KR,20,1477000,285,542000.0,108,Romance,18+,Commercial,0.37894736842105264,2016,36,2,5
8218,P.S. Girl,Won Seok-ho,2016-02-04,Theatrical Release,Feature,KR,21,1673000,285,554000.0,87,Action,18+,Commercial,0.30526315789473685,2016,36,2,0
8219,With those teeth,Kwon Man-hoe,2016-06-03,Theatrical Release,Feature,KR,20,1513000,284,607000.0,121,Action,18+,Art film,0.426056338028169,2016,36,2,0
8220,Cozy Fan Tutte,Unknown,2021-04-18,Theatrical Release,Feature,DE,7,6554960,284,5035220.0,217,Other,12+,Commercial,0.7640845070422535,2021,15,0,4
8221,Delicious rice cake,Lee Seung-hwan,2016-04-27,Theatrical Release,Feature,KR,20,1465000,283,542000.0,108,Romance,18+,Commercial,0.38162544169611307,2016,36,2,5
8222,Murder Company: Murder Squad,Shane Dax Taylor,2025-02-06,Theatrical Release,Feature,US,20,1628000,283,100000.0,20,Other,15+,Commercial,0.0706713780918728,2025,63,1,4
8223,Wish Taxi,Park Chang-jin,2013-10-04,Theatrical Release,Feature,KR,2,971000,283,650000.0,220,Romance,18+,Commercial,0.7773851590106007,2013,36,2,5
8224,The girl next door,Lee Min-hwan,2016-05-12,Theatrical Release,Feature,KR,20,1465000,283,535000.0,107,Romance,18+,Commercial,0.37809187279151946,2016,36,2,5
8225,Tumbdi: The Legend of the Broken Sword,Empty bowl,2017-08-03,Theatrical Release,Feature,TH,5,1470000,283,0.0,0,Action,15+,Art film,0.0,2017,59,1,0
8226,Modern Ballet Special,Benjamin Millepied,2016-04-26,Theatrical Release,Feature,FR,10,4150000,282,2285000.0,149,Other,All Ages,Commercial,0.5283687943262412,2016,21,3,4
8227,Band name: All That I Love,Jacek Boeckchuk,2011-10-06,Theatrical Release,Feature,PL,1,2339000,282,2339000.0,282,Romance,18+,Art film,1.0,2011,50,2,5
8228,Bloodthirsty,Unknown,2022-01-27,Theatrical Release,Feature,CA,5,1974000,282,1092000.0,156,Other,15+,Art film,0.5531914893617021,2022,8,1,4
8229,Friend's older sister,Chae Gil-byeong,2016-03-10,Theatrical Release,Feature,KR,21,1593000,282,504000.0,82,Romance,18+,Commercial,0.2907801418439716,2016,36,2,5
8231,Vice: Crime City,Brian A Miller,2017-12-28,Theatrical Release,Feature,US,5,1770000,281,220000.0,11,Action,15+,Art film,0.03914590747330961,2017,63,1,0
8232,Sleepless Sex,"Lee Min-hwan, Lee Sung-hwan",2016-03-31,Theatrical Release,Feature,KR,19,1495000,281,632000.0,116,Romance,18+,Commercial,0.4128113879003559,2016,36,2,5
8233,The Garden of Finch Contini,Vittorio De Sica,2016-03-03,Theatrical Release,Feature,IT,1,2016000,281,1652000.0,198,Romance,15+,Art film,0.7046263345195729,2016,34,1,5
8234,I wish you were me,Kim Chung-gil,2021-06-01,Theatrical Release,Feature,KR,1,673000,280,92000.0,41,Other,12+,Art film,0.14642857142857144,2021,36,0,4
8235,Marilyn,Stephan Muller,2021-10-07,Theatrical Release,Feature,Other,5,1400000,280,100000.0,20,Action,18+,Art film,0.07142857142857142,2021,47,2,0
8236,MR Nine,Asif Akbar,2025-01-22,Theatrical Release,Feature,US,20,1662000,280,100000.0,20,Other,15+,Commercial,0.07142857142857142,2025,63,1,4
8237,Pale faces,Heo Beom-wook,2015-09-10,Theatrical Release,Feature,KR,1,2113500,280,1973500.0,257,Animation,18+,Art film,0.9178571428571428,2015,36,2,2
8238,The end of the diagonal line,Lee Eun-sang,2019-10-30,Theatrical Release,Feature,KR,4,1435300,279,260800.0,47,Romance,15+,Art film,0.16845878136200718,2019,36,1,5
8239,Survival Tactics,Park Geun-young,2024-02-21,Theatrical Release,Feature,KR,12,2200500,279,1377500.0,169,Romance,12+,Art film,0.6057347670250897,2024,36,0,5
8240,In search of father,Kim Moo-eun,2018-04-12,Theatrical Release,Feature,KR,4,930000,279,158000.0,27,Other,All Ages,Art film,0.0967741935483871,2018,36,3,4
8241,Brooklyn Brothers,Ryan O'Nan,2014-01-09,Theatrical Release,Feature,US,3,2255000,278,2094000.0,255,Comedy,15+,Art film,0.9172661870503597,2014,63,1,3
8242,Yangjitteum,Kim Sang-pae,2024-08-21,Theatrical Release,Feature,KR,8,2237800,278,783000.0,80,Other,12+,Art film,0.28776978417266186,2024,36,0,4
8243,Tokyo Rendezvous,Chihiro Ikeda,2010-01-28,Theatrical Release,Feature,JP,1,1840903,276,1413000.0,198,Romance,All Ages,Art film,0.717391304347826,2010,35,3,5
8244,latitude,Baek Jeong-min,2011-10-20,Theatrical Release,Feature,KR,5,1497000,276,498000.0,69,Other,18+,Art film,0.25,2011,36,2,4
8245,Sled Cartoon,An Il-hwan,2016-02-25,Theatrical Release,Feature,KR,21,1571000,275,552000.0,87,Comedy,18+,Commercial,0.31636363636363635,2016,36,2,3
8246,Awakening,Nick Murphy,2013-12-12,Theatrical Release,Feature,GB,1,1768000,274,1768000.0,274,Other,15+,Art film,1.0,2013,22,1,4
8247,Full House Diary: Dairy Farm Wife,Han Dong-ho,2015-12-15,Theatrical Release,Feature,KR,20,1407000,274,525000.0,105,Romance,18+,Commercial,0.38321167883211676,2015,36,2,5
8248,Cavalleria rusticana,Unknown,2021-07-03,Theatrical Release,Feature,IT,9,7586600,274,4214000.0,126,Other,12+,Commercial,0.45985401459854014,2021,34,0,4
8249,Sister's friend,Shin Hyun-cheol,2016-01-21,Theatrical Release,Feature,KR,21,1545000,273,521000.0,84,Romance,18+,Commercial,0.3076923076923077,2016,36,2,5
8250,Come again,Kim Chung-nyeong,2018-04-26,Theatrical Release,Feature,KR,4,1448500,273,280000.0,28,Romance,12+,Art film,0.10256410256410256,2018,36,0,5
8251,Aria: Di Avenire,Junichi Sato,2021-09-08,Theatrical Release,Feature,JP,5,2337000,273,1703500.0,200,Animation,All Ages,Art film,0.7326007326007326,2021,35,3,2
8252,Eurydice,Unknown,2022-03-01,Theatrical Release,Feature,US,6,7271900,273,5796900.0,216,Other,All Ages,Commercial,0.7912087912087912,2022,63,3,4
8253,Instant color,Kim Hyun-bin,2015-11-26,Theatrical Release,Feature,KR,20,1478000,271,395000.0,72,Romance,18+,Commercial,0.2656826568265683,2015,36,2,5
8254,Nuclear Now,Oliver Stone,2023-12-06,Theatrical Release,Feature,US,17,2838039,271,1838200.0,166,Other,All Ages,Art film,0.6125461254612546,2023,63,3,4
8255,Karas: Revelation,Sato Keiichi,2013-11-28,Theatrical Release,Feature,JP,3,1380000,270,380000.0,70,Animation,18+,Commercial,0.25925925925925924,2013,35,2,2
8256,Condor's Nest,Phil Blattenberger,2023-11-16,Theatrical Release,Feature,US,22,1620000,270,0.0,0,Action,15+,Commercial,0.0,2023,63,1,0
8257,Fable,Eguchi Kan,2021-07-22,Theatrical Release,Feature,JP,5,1969000,270,1849000.0,246,Comedy,15+,Art film,0.9111111111111111,2021,35,1,3
8258,It's not like I can't go out,Kim Chung-gil,2022-08-24,Theatrical Release,Feature,KR,5,2000000,269,1185000.0,115,Romance,12+,Art film,0.4275092936802974,2022,36,0,5
8259,Life feels good,Mashie Pfeifferzica,2018-06-28,Theatrical Release,Feature,PL,5,1613400,269,76400.0,12,Romance,15+,Art film,0.04460966542750929,2018,50,1,5
8260,Young mother and daughter,Wangjibang,2020-09-10,Theatrical Release,Feature,KR,20,1562000,269,669000.0,125,Romance,18+,Commercial,0.4646840148698885,2020,36,2,5
8261,sinner,Kim Jong-ho,2016-11-29,Theatrical Release,Feature,KR,2,1883000,269,1883000.0,269,Action,15+,Art film,1.0,2016,36,1,0
8262,Long place,Unknown,2023-04-27,Theatrical Release,Feature,US,20,1588000,268,0.0,0,Action,15+,Commercial,0.0,2023,63,1,0
8263,The Temptation of the Younger Sisters,Lee Woo-min,2021-08-20,Theatrical Release,Feature,KR,20,1345000,268,402000.0,81,Romance,18+,Commercial,0.30223880597014924,2021,36,2,5
8264,The Law of Invitation,Unknown,2023-05-11,Theatrical Release,Feature,Other,5,1800000,268,1050000.0,150,Romance,18+,Art film,0.5597014925373134,2023,47,2,5
8265,Kakegurui the Movie,Hanabusa Tsutomu,2023-01-16,Theatrical Release,Feature,JP,5,1885694,267,1231897.0,172,Romance,15+,Art film,0.6441947565543071,2023,35,1,5
8266,"Tiena: 10,000 years later",here,2016-10-20,Theatrical Release,Feature,CN,13,1860000,267,1404000.0,181,Animation,15+,Art film,0.6779026217228464,2016,11,1,2
8267,My Sweet Crazy Sister,Unknown,2025-03-13,Theatrical Release,Feature,US,20,1578000,266,100000.0,20,Comedy,15+,Commercial,0.07518796992481203,2025,63,1,3
8268,Black Warrant,Tibo Takas,2025-04-10,Theatrical Release,Feature,US,20,1578000,266,100000.0,20,Other,15+,Commercial,0.07518796992481203,2025,63,1,4
8269,Safer at Home,Will Warnick,2023-11-30,Theatrical Release,Feature,US,14,1566000,266,0.0,0,Other,15+,Commercial,0.0,2023,63,1,4
8270,Arcadian,benjamin brewer,2025-02-13,Theatrical Release,Feature,US,27,2403500,266,1001900.0,115,Other,15+,Art film,0.4323308270676692,2025,63,1,4
8271,Infinity Force Special Edition 1,Kiyotaka Suzuki,2017-12-07,Theatrical Release,Feature,JP,20,1494000,266,662000.0,124,Animation,All Ages,Commercial,0.46616541353383456,2017,35,3,2
8272,Looking for,Kim Tae-hee,2024-11-06,Theatrical Release,Feature,KR,7,2250500,265,1236000.0,129,Romance,12+,Art film,0.4867924528301887,2024,36,0,5
8273,Water ghost,Lim Ji-hoon,2023-11-09,Theatrical Release,Feature,KR,5,2577000,265,2470000.0,247,Other,12+,Art film,0.9320754716981132,2023,36,0,4
8274,Agent Recon,Unknown,2025-01-17,Theatrical Release,Feature,US,20,1520000,265,100000.0,20,Other,15+,Commercial,0.07547169811320754,2025,63,1,4
8275,Death Calendar,Unknown,2022-06-23,Theatrical Release,Feature,FR,17,2492500,264,1031000.0,107,Other,15+,Art film,0.4053030303030303,2022,21,1,4
8276,Mother's Legacy,Alexey Gorlov,2015-02-12,Theatrical Release,Feature,KZ,2,1496000,264,192000.0,25,Animation,12+,Art film,0.0946969696969697,2015,37,0,2
8277,Tree farm,Park Kwang-chun,2012-11-15,Theatrical Release,Feature,KR,2,1406000,263,1326000.0,253,Other,18+,Commercial,0.9619771863117871,2012,36,2,4
8278,She's the one,Feng Xiaogang,2010-07-15,Theatrical Release,Feature,CN,4,1345119,263,248000.0,62,Romance,12+,Commercial,0.23574144486692014,2010,11,0,5
8279,Picture Me: The Model Diary,"Ole Shell, Sarah Zip",2012-04-19,Theatrical Release,Feature,US,2,2124000,263,2024000.0,245,Other,15+,Art film,0.9315589353612167,2012,63,1,4
8280,Volcanic whale,Park Hye-mi,2015-09-10,Theatrical Release,Feature,KR,1,2273000,263,2101000.0,238,Animation,18+,Art film,0.9049429657794676,2015,36,2,2
8281,The gravity of green tea,Jeong Seong-il,2019-11-28,Theatrical Release,Feature,KR,4,1893000,262,1047000.0,122,Other,All Ages,Art film,0.46564885496183206,2019,36,3,4
8282,"Affair: Dating, not marriage",Kyung Hoon Cho,2016-04-19,Theatrical Release,Feature,KR,20,1454000,262,437000.0,75,Romance,18+,Commercial,0.2862595419847328,2016,36,2,5
8283,Black girl young mom,Jeong Min-su,2022-03-08,Theatrical Release,Feature,KR,21,1316000,261,400000.0,80,Adult,18+,Commercial,0.3065134099616858,2022,36,2,1
8284,Rio 2096,Louise Bolognese,2016-08-11,Theatrical Release,Feature,BR,2,2095000,261,2016000.0,249,Animation,18+,Art film,0.9540229885057471,2016,6,2,2
8285,shock wave,Gu Ye-do,2017-11-23,Theatrical Release,Feature,CN,4,2081000,261,676000.0,73,Action,15+,Art film,0.2796934865900383,2017,11,1,0
8286,Maybe tomorrow,Alex K. Lee,2017-06-01,Theatrical Release,Feature,AT,6,1699500,261,795500.0,111,Romance,12+,Art film,0.42528735632183906,2017,2,0,5
8287,The taste of young part-timer,Lee Seung Gi,2022-05-06,Theatrical Release,Feature,KR,20,1291000,261,405000.0,81,Adult,18+,Commercial,0.3103448275862069,2022,36,2,1
8288,Good Sister-in-law 2,Kwak Young-geun,2017-10-19,Theatrical Release,Feature,KR,19,1561000,261,952000.0,168,Romance,18+,Commercial,0.6436781609195402,2017,36,2,5
8289,Kite flying in Gatu,Rajan Kosa,2013-09-26,Theatrical Release,Feature,IN,4,1886000,260,1388000.0,177,Romance,All Ages,Art film,0.6807692307692308,2013,30,3,5
8290,Posthumous name,Hong Su-dong,2020-02-27,Theatrical Release,Feature,KR,6,2310000,260,2130000.0,237,Romance,18+,Commercial,0.9115384615384615,2020,36,2,5
8291,The story of Yonosuke,Shuichi Okita,2016-07-28,Theatrical Release,Feature,JP,1,2115000,260,1902000.0,227,Romance,12+,Art film,0.8730769230769231,2016,35,0,5
8292,Memorable Passage,Park Young-im,2019-12-19,Theatrical Release,Feature,KR,2,1627500,259,591000.0,67,Romance,15+,Art film,0.25868725868725867,2019,36,1,5
8293,Delicious Sister,Kim Chang-seok,2022-01-11,Theatrical Release,Feature,KR,20,1315000,259,400000.0,80,Adult,18+,Commercial,0.3088803088803089,2022,36,2,1
8294,Take Off: Standing on the Waves,Kang Dae-hee,2022-08-25,Theatrical Release,Feature,KR,4,2604000,259,2362000.0,237,Romance,12+,Art film,0.915057915057915,2022,36,0,5
8295,Popran: In Search of the Lost X,Shinichiro Ueda,2022-10-27,Theatrical Release,Feature,JP,17,2438400,259,1685900.0,168,Comedy,15+,Art film,0.6486486486486487,2022,35,1,3
8296,engagement,Unknown,2023-08-16,Theatrical Release,Feature,US,20,1549000,258,12000.0,1,Other,15+,Commercial,0.003875968992248062,2023,63,1,4
8297,Martial Arts Detective: Chinatown,Park Sang-hyun,2015-07-09,Theatrical Release,Feature,KR,5,1405000,257,735000.0,123,Action,18+,Art film,0.4785992217898833,2015,36,2,0
8298,Giuje,Recommendation,2021-12-02,Theatrical Release,Feature,KR,4,1990500,256,1633500.0,221,Romance,15+,Art film,0.86328125,2021,36,1,5
8299,Mom's Lover 3,Jeong Jin-ho,2019-05-23,Theatrical Release,Feature,KR,20,1348000,256,1006000.0,197,Romance,18+,Commercial,0.76953125,2019,36,2,5
8300,Suicide Shop in Paris,Patrice Lecomte,2013-06-27,Theatrical Release,Feature,FR,2,1934000,256,588000.0,66,Animation,15+,Commercial,0.2578125,2013,21,1,2
8301,scar,Woo Sung Lim,2011-10-13,Theatrical Release,Feature,KR,3,1725000,256,1725000.0,256,Romance,15+,Art film,1.0,2011,36,1,5
8302,Theatrical version Final <Heaven's Lost Property: My Eternal Birdcage>,Hisashi Saito,2015-01-01,Theatrical Release,Feature,JP,5,1410000,255,0.0,0,Animation,15+,Commercial,0.0,2015,35,1,2
8303,I just want to tell you,Park Byung-Hwan,2017-05-25,Theatrical Release,Feature,KR,1,2040000,255,2040000.0,255,Romance,12+,Art film,1.0,2017,36,0,5
8304,Naked Girl,David Wren,2015-01-22,Theatrical Release,Feature,US,5,1322000,254,1074000.0,210,Action,18+,Commercial,0.8267716535433071,2015,63,2,0
8305,Musical The Wind Blows Through the Willows,Unknown,2020-10-07,Theatrical Release,Feature,GB,11,4476500,254,2611500.0,148,Other,All Ages,Commercial,0.5826771653543307,2020,22,3,4
8306,Bandstand,"Lorenzo Tione, Andy Blankenbuhler",2022-02-24,Theatrical Release,Feature,US,17,5064000,254,2373000.0,119,Other,12+,Commercial,0.468503937007874,2022,63,0,4
8307,Extreme Terminator,Andrew Bellware,2015-01-22,Theatrical Release,Feature,US,5,1322000,254,1074000.0,210,Action,12+,Commercial,0.8267716535433071,2015,63,0,0
8308,A human standing up,Kim Mi-young,2016-03-27,Theatrical Release,Feature,KR,4,1583600,254,1347000.0,216,Romance,12+,Art film,0.8503937007874016,2016,36,0,5
8309,ghost,Javier Ruiz Caldera,2013-08-22,Theatrical Release,Feature,ES,3,1853500,253,1655500.0,227,Other,15+,Art film,0.8972332015810277,2013,19,1,4
8310,Mom,Gohun,2019-11-21,Theatrical Release,Feature,KR,4,1861500,253,7700.0,1,Romance,15+,Art film,0.003952569169960474,2019,36,1,5
8311,Neighbors,Expectation,2016-05-16,Theatrical Release,Feature,KR,21,1348000,253,319000.0,63,Romance,18+,Commercial,0.2490118577075099,2016,36,2,5
8312,Compatibility between men and women,Chae Gil-byeong,2016-05-19,Theatrical Release,Feature,KR,20,1344000,252,314000.0,62,Romance,18+,Commercial,0.24603174603174602,2016,36,2,5
8313,you are beautiful,"Baek Seung-chang, Jang Hye-young",2010-08-26,Theatrical Release,Feature,KR,2,1777406,252,902000.0,118,Other,All Ages,Art film,0.46825396825396826,2010,36,3,4
8314,Adultery,Best,2016-07-14,Theatrical Release,Feature,KR,20,1330000,252,560000.0,112,Romance,18+,Commercial,0.4444444444444444,2016,36,2,5
8315,My dear sister,Wangjibang,2020-02-19,Theatrical Release,Feature,KR,19,1323000,252,654000.0,138,Romance,18+,Commercial,0.5476190476190477,2020,36,2,5
8316,Two Warriors,Sammo Hung,2014-05-22,Theatrical Release,Feature,HK,5,925000,252,270000.0,54,Action,15+,Commercial,0.21428571428571427,2014,24,1,0
8317,Deadline,Sean McConville,2010-04-08,Theatrical Release,Feature,US,1,1815504,251,1787000.0,247,Other,15+,Commercial,0.9840637450199203,2010,63,1,4
8318,Jumbo,Unknown,2021-05-05,Theatrical Release,Feature,FR,12,2334600,251,1541100.0,168,Romance,15+,Commercial,0.6693227091633466,2021,21,1,5
8319,Tai Chi: The Seven Great Masters of Martial Arts,Yang Baek-Gyeon,2012-11-29,Theatrical Release,Feature,HK,1,532000,251,532000.0,251,Action,15+,Commercial,1.0,2012,24,1,0
