rank,title,director,release_date,movie_type,format_type,nation,screens_total,sales_total_krw,audience_total,sales_seoul_krw,audience_seoul,genre,rating,film_class
7831,The Retched: Curse of the Demon,Unknown,2021-07-22,Theatrical Release,Feature,US,19,4111500,433,1045500,108,Fantasy,15+,Commercial
7832,Francesca da Rimini,Piero Pagioni,2013-11-16,Theatrical Release,Feature,US,2,11075500,433,9308500,372,Performance,All Ages,Commercial
7833,Old Couple Story: Stage Movie,Shin Tae-yeon,2020-08-19,Theatrical Release,Feature,KR,16,4396500,432,2862000,303,Performance,12+,Art film
7834,Purpose of the reunion 3,This city,2018-02-20,Theatrical Release,Feature,KR,20,2290000,431,549000,110,Romance,18+,Commercial
7835,miss you,"Seo Eun-ah, Yoon Jae-ho, Jang Eun-yeon",2016-06-23,Theatrical Release,Omnibus,KR,1,3701400,431,3701400,431,Drama,12+,Art film
7836,The people I have sleep with,Quentin Lee,2013-01-30,Theatrical Release,Feature,US,1,3010000,430,3010000,430,Comedy,18+,Commercial
7837,Rigoletto,Unknown,2022-05-24,Theatrical Release,Feature,US,6,11766600,430,8930100,324,Performance,12+,Commercial
7838,Solomon's Perjury Part 2: The Trial,Narushima Izuru,2015-09-03,Theatrical Release,Feature,JP,3,3590000,430,3164500,379,Mystery,15+,Art film
7839,Coalition,"Lee Yoon-ho, Heo Seo-hyung",2017-03-30,Theatrical Release,Feature,KR,8,2336000,430,1849000,303,Horror,18+,Art film
7840,I'll miss you,Han Cheol-su,2015-08-13,Theatrical Release,Feature,KR,20,2210000,429,625000,119,Fantasy,12+,Art film
7841,"Forbidden Sex, Sweet Revenge",Lee Seung-hwan,2016-01-14,Theatrical Release,Feature,KR,21,2374000,427,1004000,162,Romance,18+,Commercial
7843,Witch's Coffin,truthfulness,2010-03-04,Theatrical Release,Feature,KR,1,2383421,426,2258000,406,Horror,18+,Art film
7844,Delicious Trap-Love,Shin Jeong-gyun,2015-09-30,Theatrical Release,Feature,KR,3,2227000,426,666000,124,Romance,18+,Commercial
7845,Mutant shark,Grief First,2014-12-11,Theatrical Release,Feature,US,5,1708000,426,1238000,272,Sci-Fi,15+,Commercial
7846,2 percent,Tattoo shop,2023-04-27,Theatrical Release,Feature,KR,8,2792000,426,1982500,215,Drama,12+,Art film
7847,Great Shark 2,Jared Cohn,2021-12-23,Theatrical Release,Feature,US,50,1877000,425,414000,82,Action,12+,Commercial
7848,Mars: The Road to Mars,Jean-Christophe Joffre,2016-10-06,Theatrical Release,Feature,US,5,2124000,425,2100000,420,Documentary,12+,Art film
7849,The Martial Arts Era: Battle of the Four Great Masters,Thunderstorm,2016-09-22,Theatrical Release,Feature,CN,5,2125000,425,2100000,420,Action,15+,Art film
7850,In my sleep,Alan Wolf,2011-07-28,Theatrical Release,Feature,US,3,3298000,425,2863000,343,Thriller,15+,Art film
7851,Going to kill,Park Nam-won,2021-11-11,Theatrical Release,Feature,KR,8,4182500,425,2719500,271,Drama,15+,Art film
7852,Mongolian Princess,Jeong Dan-woo,2015-03-19,Theatrical Release,Feature,KR,4,3254000,424,2807000,353,Romance,18+,Art film
7853,Battalion,Dmitry Meskhiev,2016-10-19,Theatrical Release,Feature,RU,5,2122000,424,2100000,420,War,15+,Art film
7854,London Town,derrick boat,2017-02-16,Theatrical Release,Feature,US,15,2425400,423,0,0,Drama,15+,Art film
7855,Let there be light,Kevin Sorbo,2019-11-07,Theatrical Release,Feature,US,15,2198000,423,0,0,Drama,12+,Art film
7856,The Legend of Shingu Seju: Fist of the North Star Zero - Kenshiro Chronicles,Toshiki Hirano,2013-10-10,Theatrical Release,Feature,JP,9,2951500,423,2533000,366,Animation,15+,Commercial
7857,Gymnopedie of love and desire,Isao Yukisada,2017-07-06,Theatrical Release,Feature,JP,4,3064000,422,2713000,362,Drama,18+,Commercial
7858,The Barber of Seville,Unknown,2020-03-03,Theatrical Release,Feature,IT,5,11580500,421,6224500,207,Performance,All Ages,Commercial
7859,The President,Oliver Stone,2021-11-11,Theatrical Release,Feature,US,5,2100000,420,900000,180,Drama,15+,Art film
7860,Riot,John Ride,2016-07-06,Theatrical Release,Feature,US,1,2100000,420,2100000,420,Action,18+,Commercial
7861,motel,Lee Seung-hwan,2015-11-10,Theatrical Release,Feature,KR,20,2182000,420,654000,121,Romance,18+,Commercial
7862,Military Man,Unknown,2021-11-18,Theatrical Release,Feature,RU,5,2100000,420,900000,180,War,15+,Art film
7863,Bang Gang: A Modern Love Story,Eva Husson,2016-08-25,Theatrical Release,Feature,FR,1,2520000,420,2520000,420,Drama,18+,Art film
7864,Anna Bolena,David McVicar,2012-02-01,Theatrical Release,Feature,US,2,11929000,420,11929000,420,Performance,All Ages,Commercial
7865,Crazy Shark,Christopher Ray,2013-12-04,Theatrical Release,Feature,US,5,2180000,420,1000000,200,Thriller,15+,Commercial
7866,Pusher: Final Project,Luis Prieto,2013-12-04,Theatrical Release,Feature,GB,5,2180000,420,1000000,200,Crime,18+,Commercial
7867,Made in China,Kim Dong-hoo,2015-06-25,Theatrical Release,Feature,KR,2,3135100,419,2933100,375,Drama,18+,Art film
7868,Risky sex,Lee Seung-hwan,2015-09-23,Theatrical Release,Feature,KR,20,2249000,419,750000,130,Romance,18+,Commercial
7869,cold tropical fish,Sono Sion,2012-09-20,Theatrical Release,Feature,JP,1,3292000,419,3292000,419,Drama,18+,Commercial
7870,Queen of Ice,Anne Sebisqui,2020-03-26,Theatrical Release,Feature,NO,36,3109840,419,1746880,239,Drama,15+,Art film
7871,Teuri,This is difficult,2020-07-09,Theatrical Release,Feature,KR,16,3505980,419,2894980,343,Drama,15+,Art film
7872,red eyes,Unknown,2020-12-24,Theatrical Release,Feature,JP,5,2321770,418,1921770,338,Mystery,18+,Art film
7873,Long time no see,Lee Eun-jung,2024-12-25,Theatrical Release,Feature,KR,7,3754300,418,2939800,322,Drama,12+,Art film
7874,Dance without a name,There is also an inu,2023-08-09,Theatrical Release,Feature,JP,14,4125000,418,3092500,292,Documentary,12+,Art film
7876,Explosion City,Calvin Tong,2014-11-12,Theatrical Release,Feature,HK,6,1694000,418,824000,180,Action,18+,Commercial
7877,Black 47,Lance Daley,2019-06-13,Theatrical Release,Feature,IE,9,2889300,417,1806000,245,War,15+,Art film
7878,8 suspects,Oh Incheon,2024-04-17,Theatrical Release,Feature,KR,10,2496000,416,0,0,Drama,15+,Art film
7879,First Love Story,Park Beom-Hoon,2010-05-05,Theatrical Release,Omnibus,KR,1,2666871,415,1973000,299,Romance,15+,Commercial
7880,cannonball,Jeong Seung-min,2021-08-25,Theatrical Release,Feature,KR,12,3673010,415,2882940,331,Drama,12+,Art film
7881,Detective Agency - Love and War,Lee Dong Hyun,2016-05-13,Theatrical Release,Feature,KR,20,2097000,415,1278000,256,Thriller,18+,Commercial
7882,sunshine family,Kim Tae-sik,2020-12-31,Theatrical Release,Feature,KR,26,3480570,414,2172070,245,Drama,12+,Art film
7883,I just dropped my smartphone,Hideo Nakata,2019-04-04,Theatrical Release,Feature,JP,3,3014000,414,3014000,414,Thriller,15+,Art film
7884,Silent Witness,flight,2014-05-29,Theatrical Release,Feature,CN,2,3046000,414,3046000,414,Thriller,15+,Commercial
7885,Grave Encounter 2,John Polliquin,2016-08-18,Theatrical Release,Feature,CA,9,3161000,413,2366000,290,Horror,15+,Art film
7886,long day,Composition Gyu,2021-12-30,Theatrical Release,Feature,KR,12,3901600,413,3107300,319,Drama,12+,Art film
7887,Eagle Brothers,Sato Toya,2014-02-20,Theatrical Release,Feature,JP,4,2474500,412,1158000,198,Sci-Fi,12+,Commercial
7888,Self-contradiction: Zeitgeist and participation in reality,Kim Seon,2015-09-10,Theatrical Release,Feature,KR,5,2559000,412,2035000,320,Comedy,18+,Art film
7889,School Out Forever,Oliver Milburn,2021-09-29,Theatrical Release,Feature,GB,12,3701800,411,2998300,337,Comedy,18+,Art film
7890,Hot sex talk,before,2015-11-03,Theatrical Release,Feature,KR,20,2143000,411,654000,121,Romance,18+,Commercial
7891,Fengshen Yanyi: The Wind and Cloud of Zhaojia,Wuershan,2024-01-24,Theatrical Release,Feature,CN,23,3284317,409,789500,74,War,12+,Art film
7892,Dino Super Gator,Jim Winowski,2014-11-12,Theatrical Release,Feature,US,6,1654000,408,824000,180,Sci-Fi,15+,Commercial
7893,MILF,Scott Wheeler,2013-06-20,Theatrical Release,Feature,US,1,856000,408,0,0,Comedy,18+,Commercial
7894,The legend of the white fox,Woojoyang,2014-11-13,Theatrical Release,Feature,CN,6,1654000,408,824000,180,Fantasy,15+,Commercial
7895,Invisible 2: Finding Ghost Sounds,Yoo Jun-seok,2011-01-13,Theatrical Release,Feature,KR,4,2046000,408,2046000,408,Horror,15+,Commercial
7896,Rodelinda,Stephen Wordsworth,2012-05-29,Theatrical Release,Feature,US,2,11401500,407,10564000,378,Other,All Ages,Commercial
7897,"Today, we 2","Yang Jae-jun, Lee Na-yeon, Lee Jun-seop, Yeo Jang-cheon",2021-01-21,Theatrical Release,Feature,KR,14,3297200,407,2342200,266,Drama,12+,Art film
7898,Siegfried,Robert Lepage,2012-04-04,Theatrical Release,Feature,US,0,11499000,407,10640000,377,Performance,All Ages,Commercial
7899,UFO sketch,Kim Jin-wook,2021-03-04,Theatrical Release,Feature,KR,10,2861500,407,1999000,264,Documentary,All Ages,Art film
7900,Bugok Hawaii,Ha Kang Hoon,2015-04-30,Theatrical Release,Feature,KR,10,2805300,406,1430800,202,Drama,18+,Art film
7901,Affair: Dangerous Sexual Play,Lee Min-hwan,2014-11-27,Theatrical Release,Feature,KR,4,1754000,405,1224000,240,Romance,18+,Commercial
7902,Cinderella,Unknown,2022-04-05,Theatrical Release,Feature,US,7,10270000,404,6583500,248,Performance,All Ages,Commercial
7903,Tom and Lily: Their Own Space,James Choi,2017-01-25,Theatrical Release,Feature,US,7,3194500,404,1999000,234,Drama,12+,Art film
7904,I wonder if I should go,High peak,2019-09-01,Theatrical Release,Feature,KR,5,1398100,403,500100,111,Documentary,12+,Art film
7905,Money,Unknown,2019-06-29,Theatrical Release,Feature,US,6,9460500,403,7006500,301,Performance,12+,Commercial
7906,Alien Skyline,Neil Johnson,2014-11-13,Theatrical Release,Feature,US,6,1649000,403,819000,175,Action,15+,Commercial
7907,Falstaff,Jacopo Spirei,2019-06-16,Theatrical Release,Feature,DE,6,9174000,403,6831000,305,Performance,12+,Commercial
7908,San Andres Mega Earthquake,H.M. Cockley,2022-01-19,Theatrical Release,Feature,US,48,1779000,401,404000,82,Action,12+,Commercial
7909,Her circumstances,Seongun-ah,2021-11-11,Theatrical Release,Feature,KR,20,2000000,400,1000000,200,Adult film,18+,Commercial
7910,Granite: True Soldier,Unknown,2022-05-26,Theatrical Release,Feature,RU,5,2000000,400,800000,160,War,18+,Art film
7911,Deadwater,Unknown,2020-05-28,Theatrical Release,Feature,US,10,2000000,400,0,0,Thriller,15+,Art film
7912,When the hot night opens2,Kim Min-soo,2021-07-29,Theatrical Release,Feature,KR,20,2000000,400,1000000,200,Adult film,18+,Commercial
7913,Bad Cop 3,Santiago Segura,2014-09-04,Theatrical Release,Feature,ES,1,800000,400,800000,400,Comedy,18+,Commercial
7914,Blazing Sun,Unknown,2022-06-23,Theatrical Release,Feature,RU,5,2000000,400,800000,160,War,18+,Art film
7915,Suspicious wife next door,Kim Ye-na,2021-12-16,Theatrical Release,Feature,KR,20,2000000,400,1000000,200,Adult film,18+,Commercial
7916,Guardian Angel - Mysterious,Ryu Shin's,2013-12-18,Theatrical Release,Feature,CN,5,2150000,400,1100000,220,Action,15+,Commercial
7917,Naughty Sisters,Best,2016-02-11,Theatrical Release,Feature,KR,20,2102000,400,714000,132,Romance,18+,Commercial
7918,Weight: When you wake up to your senses,Aku Rohimis,2022-04-14,Theatrical Release,Feature,FI,5,2000000,400,700000,140,Drama,18+,Art film
7919,The neighbor's wife,Aaron Harvey,2020-05-26,Theatrical Release,Feature,US,10,2000000,400,0,0,Thriller,15+,Art film
7920,She is transparent,Seongun-ah,2021-09-02,Theatrical Release,Feature,KR,20,2000000,400,1000000,200,Adult film,18+,Commercial
7921,Hanyang Gisaeng House Chunhyangjeon,Kim Min-wook,2015-11-26,Theatrical Release,Feature,KR,20,2085000,400,658000,122,Romance,18+,Commercial
7922,Mental,Kazuhiro Soda,2010-04-08,Theatrical Release,Feature,JP,2,2754243,399,1345000,165,Documentary,15+,Art film
7923,Sunlight Junior,Laurie Collier,2015-03-05,Theatrical Release,Feature,US,2,3245000,399,3245000,399,Romance,18+,Art film
7924,Honor,Shan Khan,2014-12-11,Theatrical Release,Feature,GB,2,2769000,399,2769000,399,Action,15+,Art film
7925,7 Haizao,Virtue,2010-03-18,Theatrical Release,Feature,TW,4,3078839,399,2597000,319,Drama,12+,Commercial
7926,The Strange Director Who Only Buys Me Food - Movie,Yang Kyung-hee,2023-04-12,Theatrical Release,Feature,KR,18,5968000,398,4485000,299,Drama,15+,Commercial
7927,Still the Money: 314 Secret Vault,Daniel Calpaso,2018-06-28,Theatrical Release,Feature,ES,10,2972500,398,1473700,177,Crime,12+,Art film
7928,Secret Visitor,Yoon Yeo-chang,2015-09-16,Theatrical Release,Feature,KR,19,2091000,397,646000,119,Romance,18+,Commercial
7929,One Cut - The Record of a Kind Murderer,Koji Shiraishi,2014-09-11,Theatrical Release,Feature,KR,3,2790600,395,2622600,367,Horror,18+,Art film
7930,Josh Groban: Bridges New York Madison Square Garden Concert,Unknown,2020-05-20,Theatrical Release,Feature,GB,20,6988500,395,2947000,165,Performance,All Ages,Commercial
7931,Emperor Tito's Mercy,Jean Piero Fornell,2013-06-08,Theatrical Release,Feature,US,2,9954000,395,9132000,367,Performance,All Ages,Commercial
7932,Hanyanggibang Myeonggijeon,Kim Min-wook,2015-12-30,Theatrical Release,Feature,KR,20,2163000,395,872000,144,Romance,18+,Commercial
7933,Delicious meeting,before,2016-02-29,Theatrical Release,Feature,KR,19,2054000,394,734000,136,Romance,18+,Commercial
7934,Memories of Murder,David Luiz,2014-12-18,Theatrical Release,Feature,MX,5,1698000,394,1210000,238,Sci-Fi,15+,Commercial
7935,The wind is blowing,Hanhan,2017-09-14,Theatrical Release,Feature,HK,5,1973000,394,550000,110,Comedy,15+,Art film
7936,Joseon Anbang Scandal - Seven Evils,before,2015-09-15,Theatrical Release,Feature,KR,20,2077000,394,638000,117,Romance,18+,Commercial
7937,Venus in furs,Song Ye-seop,2012-07-12,Theatrical Release,Feature,KR,1,3248000,393,3248000,393,Drama,18+,Commercial
7938,Why are you going that far again?,Full scale,2010-04-29,Theatrical Release,Feature,KR,1,2572896,393,2042500,296,Drama,12+,Art film
7939,Director Michael Haneke,Eve Montmayeur,2016-02-25,Theatrical Release,Feature,AT,8,3028200,392,2065000,244,Documentary,15+,Art film
7940,Naked Boys Singing,"Robert Schrock, Troy Christian",2010-02-01,Theatrical Release,Feature,US,1,2937146,392,2893000,386,Musical,18+,Commercial
7941,Bangkok Kickboxer,Todd Belanca,2014-04-30,Theatrical Release,Feature,US,5,1170000,392,270000,54,Thriller,18+,Commercial
7942,The boy with horns,Kim Hwi-geun,2019-06-13,Theatrical Release,Feature,KR,5,2489000,392,1553000,178,Drama,15+,Art film
7943,"Go, Boys!: The Last Leaf Shooter Project",Hanabusa Tsutomu,2012-11-01,Theatrical Release,Feature,JP,5,3009000,391,2065000,251,Comedy,12+,Art film
7944,The world of light,Gu Ji-hyun,2023-09-20,Theatrical Release,Feature,KR,13,3009878,390,2075878,266,Drama,12+,Art film
7945,Bongbae Dozer,Dingsheng,2013-12-18,Theatrical Release,Feature,CN,5,2110000,390,1100000,220,Action,15+,Commercial
7946,The Perfect Crime Project,Adrian Grunberg,2013-12-19,Theatrical Release,Feature,US,5,2152000,390,1100000,220,Action,18+,Commercial
7947,Giselle,Toa Fraser,2014-01-23,Theatrical Release,Feature,NZ,2,2678000,389,1912000,264,Performance,All Ages,Art film
7948,Dangerous addiction,Choi Yul-kwon-hee,2015-12-24,Theatrical Release,Feature,KR,20,2117000,388,769000,133,Drama,18+,Commercial
7949,father daughter,Ken Ochiai,2019-09-05,Theatrical Release,Feature,VN,6,2758500,387,2543000,362,Comedy,12+,Commercial
7950,Fantastic modern gayageum,Choi Seung-ho,2011-08-18,Theatrical Release,Feature,KR,8,2640500,387,1555000,206,Documentary,All Ages,Art film
7951,Next Generation Patlabor 2,Mamoru Oshii,2014-06-19,Theatrical Release,Feature,JP,1,1993000,386,1993000,386,Action,12+,Commercial
7952,Mephistopheles,Unknown,2016-10-30,Theatrical Release,Feature,DE,8,9295500,386,6865500,289,Performance,15+,Commercial
7953,Late Night Theater,Lee Min-hwan,2016-02-25,Theatrical Release,Feature,KR,20,1964000,386,634000,126,Romance,18+,Commercial
7954,Count Olaf,Alina Chevic,2019-04-18,Theatrical Release,Feature,RU,5,4797000,386,3855000,319,Performance,All Ages,Commercial
7955,Heli,Amat Escalante,2014-08-28,Theatrical Release,Feature,MX,4,2094000,386,0,0,Drama,18+,Art film
7956,Flowers and Snakes 3,Yusuke Narita,2014-11-20,Theatrical Release,Feature,JP,4,1637000,385,832000,164,Romance,18+,Commercial
7957,Accompanying: 10 years of footsteps,Lee Jae-ho,2022-12-01,Theatrical Release,Feature,KR,9,2658200,385,1090000,79,Documentary,All Ages,Art film
7958,Melo,By Leeroy,2014-04-24,Theatrical Release,Feature,KR,13,2664500,385,1302000,186,Drama,18+,Art film
7959,Wolf at the door,Fernando Coimbra,2014-07-10,Theatrical Release,Feature,BR,2,3168000,385,2846000,333,Drama,18+,Art film
7960,beauty,Hong Tae-seon,2022-02-24,Theatrical Release,Feature,KR,5,3055000,384,1400000,155,Documentary,All Ages,Art film
7961,Alien Space,Emmett Carinan,2014-11-20,Theatrical Release,Feature,US,4,1636000,384,846000,166,Sci-Fi,15+,Commercial
7962,Melon scent,Kim Woo Seok,2018-05-31,Theatrical Release,Feature,KR,4,2895200,384,749600,77,Drama,All Ages,Art film
7963,Birthday Wonderland,Keiichi Hara,2019-10-24,Theatrical Release,Feature,JP,26,3034160,383,1277460,156,Animation,All Ages,Commercial
7964,Igor and cute monster Iva,Tony Leondis,2011-02-10,Theatrical Release,Feature,US,8,2490500,383,144000,22,Animation,All Ages,Art film
7965,Hot neighbor,before,2016-01-28,Theatrical Release,Feature,KR,20,2020000,382,778000,137,Romance,18+,Commercial
7966,Twenty-first century girl,Yamato Yuki,2020-09-03,Theatrical Release,Feature,JP,20,3279400,382,2655400,292,Drama,15+,Art film
7967,Next Tomorrow 2,R.D. Brownstein,2014-11-27,Theatrical Release,Feature,US,4,1626000,381,1096000,216,Action,12+,Commercial
7968,ruby,Park Han-jin,2020-07-30,Theatrical Release,Feature,KR,12,3271900,381,2924400,330,Drama,12+,Art film
7969,Swapping Club,Steve Balderson,2013-08-22,Theatrical Release,Feature,US,1,2285000,381,0,0,Drama,18+,Art film
7970,witch hunter,Alex de la Iglesia,2014-04-10,Theatrical Release,Feature,ES,5,1535000,380,0,0,Fantasy,18+,Art film
7971,Baba Yaga: The Forest Spirit,Svyatoslav Podgaevsky,2021-02-18,Theatrical Release,Feature,RU,5,1900000,380,800000,160,Horror,15+,Art film
7972,Snow,Park Jin-sun,2015-11-26,Theatrical Release,Feature,KR,14,2849100,380,1844500,218,Drama,12+,Art film
7973,Paul McCartney's Rock Show,Paul McCartney,2015-04-02,Theatrical Release,Feature,CA,6,6737000,380,5025000,283,Performance,All Ages,Commercial
7974,La Bohème,Unknown,2020-11-29,Theatrical Release,Feature,DE,7,9719400,379,7069000,278,Performance,All Ages,Commercial
7975,Breed,Unknown,2024-12-12,Theatrical Release,Feature,US,23,2209000,379,100000,20,Sci-Fi,15+,Commercial
7976,Mom and me,Queen of the Lotus,2022-04-14,Theatrical Release,Feature,KR,7,3139700,379,2780700,330,Documentary,All Ages,Art film
7977,Tempest,Robert Lepage,2013-05-18,Theatrical Release,Feature,US,2,9899000,379,9066500,347,Performance,All Ages,Commercial
7978,Monster Wolf,Todo Chapkanov,2014-11-20,Theatrical Release,Feature,US,4,1594000,378,804000,160,Fantasy,12+,Commercial
7980,Black Summer,Lee Won-young,2019-06-20,Theatrical Release,Feature,KR,4,2539000,377,1850000,270,Romance,15+,Art film
7981,Jigola,Lore Charpentier,2011-10-06,Theatrical Release,Feature,FR,6,2588500,377,1156000,146,Drama,18+,Art film
7982,midnight sun,Scott Leberecht,2013-08-08,Theatrical Release,Feature,US,4,1870000,376,25000,3,Horror,18+,Art film
7983,Dancetown,Jeon Gyu-hwan,2011-09-01,Theatrical Release,Feature,KR,4,2737000,375,2465500,331,Drama,18+,Art film
7984,The Nose,William Kentridge,2014-02-22,Theatrical Release,Feature,US,2,9187000,375,9020500,369,Performance,All Ages,Commercial
7985,seoul,Yoon Tae-yong,2010-04-22,Theatrical Release,Feature,KR,2,2481968,374,1762000,238,Drama,12+,Art film
7986,Blaze,Unknown,2023-07-12,Theatrical Release,Feature,AU,9,3599000,372,3380000,348,Drama,15+,Art film
7987,Secretly and obscenely,This sale,2014-04-10,Theatrical Release,Feature,KR,5,1160000,372,270000,54,Romance,18+,Commercial
7988,Hellfire,Lee Sang Woo,2014-11-06,Theatrical Release,Feature,KR,8,2473000,372,1686000,231,Drama,18+,Art film
7990,Paintball,Daniel Benmayor,2014-03-06,Theatrical Release,Feature,ES,5,1160000,372,270000,54,Drama,18+,Commercial
7991,The Nutcracker,Jeong Seong-bok,2014-12-07,Theatrical Release,Feature,KR,1,1488000,372,1488000,372,Performance,All Ages,Commercial
7992,Gold of the line,Robert Lepage,2010-12-18,Theatrical Release,Feature,US,1,9159437,371,10002000,405,Performance,All Ages,Commercial
7993,Poetry reading time,Lee Soo-jung,2021-03-25,Theatrical Release,Feature,KR,15,2830400,371,1696900,198,Documentary,12+,Art film
7994,outing,Expectation,2015-06-11,Theatrical Release,Feature,KR,20,2090000,371,416000,80,Romance,18+,Commercial
7995,Scream 6,Matt Bettinelli-Olpin,2023-05-24,Theatrical Release,Feature,US,19,4049300,370,1543800,149,Horror,18+,Commercial
7996,press,Choi Jeong-min,2017-11-30,Theatrical Release,Feature,KR,4,1529500,370,397000,52,Drama,15+,Art film
7997,Memories of Catfish,Kim Moon-ok,2019-05-08,Theatrical Release,Feature,KR,1,798000,369,798000,369,Drama,12+,Art film
7998,Street of Blood,Charles Winkler,2013-09-13,Theatrical Release,Feature,US,2,1845000,369,1845000,369,Crime,18+,Commercial
7999,tornado,Todo Chapkanov,2014-09-17,Theatrical Release,Feature,US,6,1402000,369,520000,104,Sci-Fi,15+,Commercial
8000,fugitive,Eric Barrett,2012-01-26,Theatrical Release,Feature,FR,2,2658500,368,0,0,Thriller,15+,Art film
8001,Delicious Love Affair: Office Wife,Kim Hak-mook,2015-11-17,Theatrical Release,Feature,KR,20,1929000,368,650000,120,Romance,18+,Commercial
8002,The New Prince of Tennis Hyotei vs. Rikkai: Game of Future Part 2,Keiichiro Kawaguchi,2021-06-09,Theatrical Release,Feature,JP,11,2884000,368,1645500,210,Animation,All Ages,Art film
8003,Joseon Anbang Scandal - Seven Evils 2,Lee Seung-hwan,2015-10-22,Theatrical Release,Feature,KR,20,1922000,368,654000,121,Romance,18+,Commercial
8004,Changgeuk Byeongangsoe Dot and Princess,Go Seon-woong,2022-02-03,Theatrical Release,Feature,KR,13,3440400,368,1944100,207,Performance,15+,Commercial
8005,a sea without water,Kim Kwan-cheol,2011-12-08,Theatrical Release,Feature,KR,2,2291000,367,2088000,329,Romance,15+,Art film
8006,From fan fiction to romance,Kang Yoon-seong,2022-12-22,Theatrical Release,Feature,KR,18,2723500,367,1672000,183,Romance,15+,Commercial
8007,Green Chair 2013 - Love Conceptually,Park Cheol-su,2013-10-31,Theatrical Release,Feature,KR,4,2280000,366,2003000,321,Romance,18+,Art film
8008,La Scala Gala Concert: To See the Stars Again,Ricardo Chailly,2021-02-01,Theatrical Release,Feature,IT,10,10059550,366,6119050,202,Performance,All Ages,Commercial
8009,Legendary Concert: Leonard Bernstein,Unknown,2021-01-03,Theatrical Release,Feature,DE,12,10132500,366,6716500,229,Performance,All Ages,Commercial
8010,Mama gogo,Friedrich Thor Friedrikson,2011-06-02,Theatrical Release,Feature,IS,1,2664000,366,2664000,366,Drama,All Ages,Art film
8011,The era of free love,before,2016-02-04,Theatrical Release,Feature,KR,20,1960000,365,743000,128,Romance,18+,Commercial
8012,guardian,Amusement park,2014-04-10,Theatrical Release,Feature,KR,3,3065500,364,2755500,329,Crime,15+,Art film
8013,Women wearing high heels are dangerous,Julie Benasra,2013-12-25,Theatrical Release,Feature,US,6,2441000,364,1320000,162,Documentary,15+,Art film
8014,Wife's lover,So Young-hwan,2015-10-08,Theatrical Release,Feature,KR,20,2123000,363,429000,76,Romance,18+,Commercial
8015,Strangers,Choi Yong-seok,2012-05-10,Theatrical Release,Feature,KR,4,2025000,363,909000,133,Drama,12+,Art film
8016,Killer Party (Yangsuri Murder Case),Kim Gun,2021-03-31,Theatrical Release,Feature,KR,12,5414000,361,3120000,208,Performance,15+,Commercial
8017,Gunsan Electric,"Moon Seung-wook, Yoo Ye-jin",2023-07-06,Theatrical Release,Feature,KR,9,3024850,360,395500,45,Documentary,All Ages,Art film
8018,Forbidden Relationship,Unknown,2023-06-15,Theatrical Release,Feature,BR,5,1800000,360,600000,120,Romance,18+,Art film
8019,Dark Spell,Svyatoslav Podgaevsky,2021-09-02,Theatrical Release,Feature,RU,5,1800000,360,100000,20,Romance,18+,Art film
8020,Red Bikini Uncut Version,Choi Moo-yeon,2017-08-21,Theatrical Release,Feature,KR,20,1853000,360,524000,106,Romance,18+,Commercial
8021,Asking for directions in Jeonju,Jin Seung-hyun,2021-06-01,Theatrical Release,Feature,KR,1,773000,360,301000,124,Drama,12+,Art film
8022,Papa Zombie,Go Hyun-chang,2016-12-29,Theatrical Release,Feature,KR,5,2257500,360,1783500,284,Drama,All Ages,Art film
8023,Hyena of Salum,Jean-Luc Erbulot,2023-04-20,Theatrical Release,Feature,FR,5,2125000,359,7000,1,Action,15+,Art film
8024,Survival War,Mark Millhorn,2015-01-15,Theatrical Release,Feature,US,6,1638000,359,1366000,266,Action,15+,Commercial
8025,Remover,Nick Simon,2015-01-08,Theatrical Release,Feature,US,5,1638000,359,1352000,264,Thriller,18+,Commercial
8026,My friend's mom,Confucius Hall,2015-11-12,Theatrical Release,Feature,KR,20,2057000,359,1178000,190,Romance,18+,Commercial
8027,Cafe Seoul,Take Masaharu,2010-01-02,Theatrical Release,Feature,JP,1,2359647,359,2240600,337,Drama,12+,Art film
8028,Round up,Rosaline Bosch,2013-05-16,Theatrical Release,Feature,FR,5,2383000,358,1980000,296,Drama,15+,Art film
8029,New Employee: The Movie,Kim Jo Gwang Soo,2023-08-03,Theatrical Release,Feature,KR,1,3146000,356,3146000,356,Romance,15+,Art film
8030,Yuko's counterweight,Yujiro Harumoto,2024-05-01,Theatrical Release,Feature,JP,6,2399139,356,1452439,213,Drama,15+,Art film
8031,viewless,Jeong Hee-jun,2024-12-19,Theatrical Release,Feature,KR,9,3009800,355,2225000,243,Action,15+,Art film
8032,The day we exchanged couples,Wangjibang,2020-02-26,Theatrical Release,Feature,KR,20,1932000,355,663000,141,Romance,18+,Commercial
8033,Mom's friend,Myung Seok-hwan,2015-08-20,Theatrical Release,Feature,KR,19,1771000,355,369000,70,Romance,18+,Commercial
8034,And the wanderer,Son Won-kyung,2021-03-11,Theatrical Release,Feature,KR,7,2911340,354,2639840,307,Documentary,12+,Art film
8035,Sencoroll Connect,Unknown,2021-10-27,Theatrical Release,Feature,JP,5,1701400,354,1400,14,Animation,12+,Art film
8036,A week and a day,Asaf Polonsky,2018-04-05,Theatrical Release,Feature,IL,9,2483000,353,1303000,164,Drama,15+,Art film
